numcol,yieldpercol,totalprod,stocks,prodvalue
56000.0,63,3528000.0,1376000.0,3457000.0
105000.0,79,8295000.0,2986000.0,4728000.0
67000.0,81,5427000.0,3419000.0,4450000.0
15000.0,69,1035000.0,580000.0,1449000.0
6000.0,45,270000.0,49000.0,362000.0
39000.0,42,1638000.0,557000.0,1769000.0
7000.0,114,798000.0,43000.0,1157000.0
13000.0,51,663000.0,530000.0,636000.0
10000.0,92,920000.0,285000.0,1564000.0
39000.0,75,2925000.0,380000.0,3218000.0
35000.0,97,3395000.0,611000.0,2444000.0
6000.0,64,384000.0,46000.0,783000.0
89000.0,91,8099000.0,5264000.0,5831000.0
9000.0,50,450000.0,36000.0,963000.0
7000.0,136,952000.0,29000.0,1057000.0
45000.0,57,2565000.0,2026000.0,2052000.0
228000.0,102,23256000.0,4186000.0,12326000.0
17000.0,53,901000.0,189000.0,1270000.0
220000.0,79,17380000.0,11818000.0,14425000.0
55000.0,60,3300000.0,1485000.0,2112000.0
15000.0,46,690000.0,117000.0,676000.0
4000.0,40,160000.0,21000.0,651000.0
8000.0,54,432000.0,65000.0,1067000.0
5000.0,40,200000.0,40000.0,478000.0
16000.0,42,672000.0,74000.0,948000.0
12000.0,52,624000.0,137000.0,1360000.0
43000.0,48,2064000.0,1115000.0,1486000.0
8000.0,59,472000.0,203000.0,1199000.0
100000.0,46,4600000.0,1610000.0,3082000.0
80000.0,85,6800000.0,3672000.0,4488000.0
10000.0,61,610000.0,128000.0,946000.0
8000.0,51,408000.0,147000.0,873000.0
63000.0,74,4662000.0,746000.0,5594000.0
65000.0,51,3315000.0,497000.0,2122000.0
3000.0,46,138000.0,21000.0,270000.0
9000.0,26,234000.0,59000.0,309000.0
8000.0,62,496000.0,233000.0,590000.0
330000.0,35,11550000.0,3119000.0,22407000.0
90000.0,40,3600000.0,1440000.0,5256000.0
16000.0,60,960000.0,269000.0,2467000.0
360000.0,51,18360000.0,4039000.0,25520000.0
225000.0,47,10575000.0,10575000.0,9941000.0
9000.0,54,486000.0,73000.0,1166000.0
11000.0,52,572000.0,92000.0,1030000.0
140000.0,79,11060000.0,2765000.0,7189000.0
6000.0,42,252000.0,45000.0,610000.0
225000.0,95,21375000.0,11970000.0,28643000.0
48000.0,52,2496000.0,1048000.0,1797000.0
53000.0,70,3710000.0,1781000.0,2931000.0
97000.0,27,2619000.0,1179000.0,4217000.0
28000.0,48,1344000.0,242000.0,2110000.0
27000.0,45,1215000.0,656000.0,1835000.0
7000.0,55,385000.0,58000.0,708000.0
52000.0,50,2600000.0,1170000.0,1560000.0
47000.0,73,3431000.0,3843000.0,3191000.0
24000.0,86,2064000.0,722000.0,2890000.0
224000.0,104,23296000.0,13046000.0,13978000.0
9000.0,66,594000.0,327000.0,683000.0
9000.0,63,567000.0,374000.0,1412000.0
59000.0,49,2891000.0,434000.0,2573000.0
7000.0,54,378000.0,125000.0,597000.0
39000.0,93,3627000.0,798000.0,2140000.0
14000.0,98,1372000.0,110000.0,1784000.0
180000.0,61,10980000.0,988000.0,18446000.0
410000.0,67,27470000.0,6318000.0,42579000.0
24000.0,77,1848000.0,665000.0,2809000.0
15000.0,50,750000.0,180000.0,915000.0
34000.0,56,1904000.0,533000.0,2894000.0
27000.0,49,1323000.0,463000.0,2540000.0
50000.0,45,2250000.0,1620000.0,2025000.0
34000.0,36,1224000.0,282000.0,1946000.0
36000.0,75,2700000.0,1458000.0,2808000.0
13000.0,39,507000.0,106000.0,1906000.0
11000.0,49,539000.0,167000.0,410000.0
4000.0,60,240000.0,53000.0,574000.0
8000.0,37,296000.0,59000.0,651000.0
4000.0,53,212000.0,45000.0,545000.0
370000.0,48,17760000.0,3730000.0,29304000.0
140000.0,77,10780000.0,3773000.0,11642000.0
40000.0,56,2240000.0,291000.0,1994000.0
8000.0,64,512000.0,189000.0,604000.0
4000.0,70,280000.0,8000.0,529000.0
150000.0,79,11850000.0,1304000.0,15642000.0
63000.0,60,3780000.0,1588000.0,5972000.0
